GREB1L	ENSG00000141449
FCAR	ENSG00000274580
MEDAG	ENSG00000102802
PEMT	ENSG00000133027
FCAR	ENSG00000276985
SEMA3C	ENSG00000075223
LPAR1	ENSG00000198121
FADS1	ENSG00000149485
CYSLTR2	ENSG00000152207
MEOX2	ENSG00000106511
MKI67	ENSG00000148773
CLU	ENSG00000120885
PRKY	ENSG00000099725
ITGA5	ENSG00000161638
ICAM1	ENSG00000090339
TSC22D2	ENSG00000196428
RBM47	ENSG00000163694
HLA-DRB5	ENSG00000198502
CH25H	ENSG00000138135
ANKRD28	ENSG00000206560
RCAN1	ENSG00000159200
PDLIM1	ENSG00000107438
HIST1H1B	ENSG00000184357
C5AR1	ENSG00000197405
CCNL1	ENSG00000163660
C14orf80	ENSG00000185347
KLF4	ENSG00000136826
APOL4	ENSG00000100336
GLIPR2	ENSG00000122694
CTGF	ENSG00000118523
SERPINA3	ENSG00000196136
ADAMTS4	ENSG00000158859
GAS7	ENSG00000007237
SLC4A4	ENSG00000080493
SGK223	ENSG00000275342
EDNRB	ENSG00000136160
B4GALT1	ENSG00000086062
SLC39A14	ENSG00000104635
XAF1	ENSG00000132530
CRY1	ENSG00000008405
ODC1	ENSG00000115758
RUNX1	ENSG00000159216
ERRFI1	ENSG00000116285
ZDHHC9	ENSG00000188706
HBG2	ENSG00000196565
UCHL1	ENSG00000154277
RGS3	ENSG00000138835
SLC20A1	ENSG00000144136
FCAR	ENSG00000275269
FCAR	ENSG00000273738
C11orf96	ENSG00000187479
NRG2	ENSG00000158458
PHACTR3	ENSG00000087495
PRSS1	ENSG00000204983
NFIL3	ENSG00000165030
TUBA1C	ENSG00000167553
THY1	ENSG00000154096
LINC00639	ENSG00000259070
STC1	ENSG00000159167
LILRA5	ENSG00000274914
PTPRD	ENSG00000153707
STX11	ENSG00000135604
SLC2A3	ENSG00000059804
GPRC5A	ENSG00000013588
CXCL2	ENSG00000081041
MAPK6	ENSG00000069956
HSD3B7	ENSG00000099377
GPR132	ENSG00000183484
SOCS3	ENSG00000184557
LHFPL2	ENSG00000145685
FOSL2	ENSG00000075426
PLA2G6	ENSG00000184381
PKD1L2	ENSG00000166473
ANKRD20A8P	ENSG00000229089
SERPINA3	ENSG00000273259
FCAR	ENSG00000275564
OR51E1	ENSG00000180785
LINC01239	ENSG00000234840
SCARA5	ENSG00000168079
KRT16	ENSG00000186832
SRPX2	ENSG00000102359
TPPP	ENSG00000171368
DIO2	ENSG00000211448
MIDN	ENSG00000167470
MIR22HG	ENSG00000186594
MT1X	ENSG00000187193
AQP3	ENSG00000165272
SRGN	ENSG00000122862
PRRX2	ENSG00000167157
RND3	ENSG00000115963
CFB	ENSG00000241534
HSPA12B	ENSG00000132622
DAP	ENSG00000112977
MAP3K8	ENSG00000107968
FJX1	ENSG00000179431
MMP2	ENSG00000087245
MAFF	ENSG00000185022
ZDHHC11	ENSG00000188818
ADGRG3	ENSG00000182885
ARID5A	ENSG00000196843
CCL18	ENSG00000275385
CDC42EP2	ENSG00000149798
RASSF2	ENSG00000101265
AZGP1	ENSG00000160862
TNFAIP3	ENSG00000118503
CECR2	ENSG00000099954
PTGES	ENSG00000148344
CD163	ENSG00000177575
USP2	ENSG00000036672
FCAR	ENSG00000278415
CCDC71L	ENSG00000253276
CCL21	ENSG00000137077
GPC1	ENSG00000063660
CDKN1A	ENSG00000124762
CLEC3B	ENSG00000163815
ATP1A1	ENSG00000163399
GADD45A	ENSG00000116717
DUSP8	ENSG00000273793
CABP1	ENSG00000157782
SLC2A1	ENSG00000117394
PHGDH	ENSG00000092621
HMOX1	ENSG00000100292
S1PR2	ENSG00000267534
FCAR	ENSG00000276858
FCAR	ENSG00000275136
IER3	ENSG00000206478
ZNF331	ENSG00000130844
NAALAD2	ENSG00000077616
DDX3Y	ENSG00000067048
MLF1	ENSG00000178053
MMP19	ENSG00000123342
JUNB	ENSG00000171223
NTRK3	ENSG00000140538
WEE1	ENSG00000166483
DUSP8	ENSG00000278165
DUSP14	ENSG00000276023
SPP1	ENSG00000118785
S100A10	ENSG00000197747
SEC24D	ENSG00000150961
ARC	ENSG00000198576
EGR3	ENSG00000179388
TIPARP	ENSG00000163659
GYS2	ENSG00000111713
PPRC1	ENSG00000148840
BDKRB2	ENSG00000168398
SH3PXD2B	ENSG00000174705
FOSL1	ENSG00000175592
CYP26B1	ENSG00000003137
FGF18	ENSG00000156427
AGPAT9	ENSG00000138678
SLC19A2	ENSG00000117479
EMP3	ENSG00000142227
APOLD1	ENSG00000178878
F5	ENSG00000198734
DKK3	ENSG00000050165
CENPF	ENSG00000117724
CD44	ENSG00000026508
GALNT12	ENSG00000119514
SGMS2	ENSG00000164023
SPX	ENSG00000134548
PROK1	ENSG00000143125
SHISA6	ENSG00000188803
BDH1	ENSG00000161267
RPS4Y1	ENSG00000129824
LILRB5	ENSG00000277414
BCL3	ENSG00000069399
TNC	ENSG00000041982
ADAMTS15	ENSG00000166106
PLIN5	ENSG00000214456
LUM	ENSG00000139329
LDHD	ENSG00000166816
PDLIM4	ENSG00000131435
RELT	ENSG00000054967
ASRGL1	ENSG00000162174
PAMR1	ENSG00000149090
VDR	ENSG00000111424
BATF	ENSG00000156127
LRG1	ENSG00000171236
NEDD9	ENSG00000111859
CRIP1	ENSG00000257341
FGL2	ENSG00000127951
MMP9	ENSG00000100985
MGAM	ENSG00000257335
CFB	ENSG00000242335
TNFAIP6	ENSG00000123610
ECM1	ENSG00000143369
MESDC1	ENSG00000140406
SELE	ENSG00000007908
NIPSNAP3B	ENSG00000165028
PDGFB	ENSG00000100311
CRIP1	ENSG00000213145
LTBP4	ENSG00000090006
ITPRIP	ENSG00000148841
HSD3BP4	ENSG00000203855
ABI3BP	ENSG00000154175
UAP1	ENSG00000117143
SERPINB1	ENSG00000021355
FCAR	ENSG00000186431
VCAN	ENSG00000038427
LILRA5	ENSG00000187116
SEMA6B	ENSG00000167680
UTY	ENSG00000183878
ACKR3	ENSG00000144476
ATF3	ENSG00000162772
NABP1	ENSG00000173559
ZNF697	ENSG00000143067
KPNA2	ENSG00000182481
TGFBI	ENSG00000120708
BMP3	ENSG00000152785
IL4R	ENSG00000077238
NOP16	ENSG00000048162
VMP1	ENSG00000062716
CD248	ENSG00000174807
ITGA11	ENSG00000137809
VASN	ENSG00000168140
NFATC2	ENSG00000101096
PPARGC1B	ENSG00000155846
UGCG	ENSG00000148154
HCAR2	ENSG00000182782
PLEKHO2	ENSG00000241839
PLK3	ENSG00000173846
SLCO2B1	ENSG00000137491
BATF3	ENSG00000123685
ACVR2B	ENSG00000114739
DLL4	ENSG00000128917
MT1E	ENSG00000169715
RGS16	ENSG00000143333
LDLR	ENSG00000130164
HID1	ENSG00000167861
MYADM	ENSG00000179820
ADGRD1	ENSG00000111452
ELL	ENSG00000105656
SCARA3	ENSG00000168077
GJC1	ENSG00000182963
KDM6B	ENSG00000132510
CASP7	ENSG00000165806
ELOVL6	ENSG00000170522
MYC	ENSG00000136997
BHLHE40	ENSG00000134107
MT2A	ENSG00000125148
TRIB1	ENSG00000173334
S100A4	ENSG00000196154
LYVE1	ENSG00000133800
SLC27A2	ENSG00000140284
PCDH12	ENSG00000113555
CHD1	ENSG00000153922
LILRA5	ENSG00000275404
GFPT2	ENSG00000131459
TPPP3	ENSG00000159713
EGFEM1P	ENSG00000206120
SEMA4A	ENSG00000196189
ENTPD3	ENSG00000168032
PTPRE	ENSG00000132334
FEM1C	ENSG00000145780
PTPRQ	ENSG00000139304
CA3	ENSG00000164879
PANX1	ENSG00000110218
KCNQ3	ENSG00000184156
SCN4B	ENSG00000177098
PIEZO2	ENSG00000154864
CHST3	ENSG00000122863
ITGB3	ENSG00000259207
PIM1	ENSG00000137193
LPIN1	ENSG00000134324
LILRA5	ENSG00000274113
PDLIM3	ENSG00000154553
SERPINB8	ENSG00000166401
CFB	ENSG00000243649
CFB	ENSG00000241253
CD55	ENSG00000196352
ALDH1A3	ENSG00000184254
IL1RL1	ENSG00000115602
ARL4C	ENSG00000188042
CCL2	ENSG00000108691
CTHRC1	ENSG00000164932
FN1	ENSG00000115414
SPHK1	ENSG00000176170
EMILIN2	ENSG00000132205
METRNL	ENSG00000176845
CKB	ENSG00000166165
CCRN4L	ENSG00000151014
CD9	ENSG00000010278
KRT8	ENSG00000170421
XPNPEP2	ENSG00000122121
PXMP2	ENSG00000176894
THBD	ENSG00000178726
HAS1	ENSG00000105509
PTPN1	ENSG00000196396
XYLT1	ENSG00000103489
DUSP5	ENSG00000138166
PNP	ENSG00000198805
SMOC2	ENSG00000112562
AHNAK2	ENSG00000185567
PCK1	ENSG00000124253
SERTAD1	ENSG00000197019
MFI2	ENSG00000163975
PLEKHH3	ENSG00000068137
DEFB132	ENSG00000186458
PNO1	ENSG00000115946
PKD1L1	ENSG00000158683
PTGFRN	ENSG00000134247
TTYH3	ENSG00000136295
CBLN1	ENSG00000102924
SYTL4	ENSG00000102362
CTSL	ENSG00000135047
BDH1	ENSG00000275544
FPR1	ENSG00000171051
CDKN1B	ENSG00000111276
PTGIS	ENSG00000124212
CFB	ENSG00000243570
EVA1C	ENSG00000166979
RTL1	ENSG00000254656
NR4A3	ENSG00000119508
MUC1	ENSG00000185499
WDR43	ENSG00000163811
LILRB5	ENSG00000278437
PECR	ENSG00000115425
CHODL	ENSG00000154645
OSGIN1	ENSG00000140961
LONRF3	ENSG00000175556
ANKRD20A5P	ENSG00000186481
CRHBP	ENSG00000145708
FSTL3	ENSG00000070404
RHOU	ENSG00000116574
PLA2G2A	ENSG00000188257
CA13	ENSG00000185015
NOLC1	ENSG00000166197
LIF	ENSG00000128342
FCAR	ENSG00000275970
CDC42EP4	ENSG00000179604
HIF3A	ENSG00000124440
IL18RAP	ENSG00000115607
SLCO4A1	ENSG00000101187
LILRB5	ENSG00000273991
ANGPTL4	ENSG00000167772
TNFAIP8L1	ENSG00000185361
RSAD2	ENSG00000134321
CA12	ENSG00000074410
B3GNT5	ENSG00000176597
CBLB	ENSG00000114423
ABL2	ENSG00000143322
GFAP	ENSG00000131095
CFB	ENSG00000204359
GPR4	ENSG00000177464
NFATC1	ENSG00000131196
PLAU	ENSG00000122861
LMNA	ENSG00000160789
RELB	ENSG00000104856
RNF122	ENSG00000133874
SNHG15	ENSG00000232956
SLC2A4	ENSG00000181856
CREB5	ENSG00000146592
NNMT	ENSG00000166741
NR4A1	ENSG00000123358
IFI16	ENSG00000163565
MARCO	ENSG00000019169
RRP12	ENSG00000052749
URB2	ENSG00000135763
RNF157	ENSG00000141576
RYR3	ENSG00000198838
PADI4	ENSG00000159339
SIK1	ENSG00000142178
DIAPH1	ENSG00000131504
TTTY15	ENSG00000233864
S100A12	ENSG00000163221
EGFLAM	ENSG00000164318
UBASH3B	ENSG00000154127
WISP2	ENSG00000064205
GADD45B	ENSG00000099860
RFX2	ENSG00000087903
SLC7A1	ENSG00000139514
SDS	ENSG00000135094
TFRC	ENSG00000072274
HSPB8	ENSG00000152137
GLYCTK	ENSG00000168237
LBP	ENSG00000129988
B4GALT5	ENSG00000158470
MIR17HG	ENSG00000215417
IFIT1	ENSG00000185745
PELI1	ENSG00000197329
CEBPD	ENSG00000221869
MYOC	ENSG00000034971
CAPG	ENSG00000042493
ACKR1	ENSG00000213088
CADM3	ENSG00000162706
SPOCK2	ENSG00000107742
DBN1	ENSG00000113758
SDC4	ENSG00000124145
CSRNP1	ENSG00000144655
SAA1	ENSG00000173432
ZBTB21	ENSG00000173276
SLC11A1	ENSG00000018280
MPP1	ENSG00000130830
MYBPC1	ENSG00000196091
FAT3	ENSG00000165323
AEN	ENSG00000181026
DNASE1L3	ENSG00000163687
USHBP1	ENSG00000130307
TRHDE-AS1	ENSG00000236333
NAMPT	ENSG00000105835
BAG3	ENSG00000151929
IL1R2	ENSG00000115590
MFSD2A	ENSG00000168389
NCR3LG1	ENSG00000188211
CD300E	ENSG00000186407
HAS2	ENSG00000170961
JUND	ENSG00000130522
PLA1A	ENSG00000144837
PAX8-AS1	ENSG00000189223
NKX3-1	ENSG00000167034
PCLO	ENSG00000186472
ZFP36	ENSG00000128016
SERPINE1	ENSG00000106366
KIAA0226L	ENSG00000102445
MEOX2-AS1	ENSG00000229108
SBNO2	ENSG00000064932
SAMSN1	ENSG00000155307
IER3	ENSG00000235030
ENOX1	ENSG00000120658
LINC00152	ENSG00000222041
ABL1	ENSG00000097007
NR4A2	ENSG00000153234
NXT1	ENSG00000132661
PADI4	ENSG00000280908
FCGBP	ENSG00000281123
STX11	LRG_113
CD55	LRG_127
CFB	LRG_136
FPR1	LRG_146
THBD	LRG_168
HSPB8	LRG_249
LMNA	LRG_254
LDLR	LRG_274
SCN4B	LRG_330
TNNC1	LRG_378
GPD1L	LRG_419
RUNX1	LRG_482
BAG3	LRG_742
PNP	LRG_91
