Gene	Ensembl
Mir7676-1	ENSMUSG00000098996
Mir200b	ENSMUSG00000065549
Mir466d	ENSMUSG00000078031
Gm24967	ENSMUSG00000095361
Gm25145	ENSMUSG00000096133
Calb2	ENSMUSG00000003657
Gm23210	ENSMUSG00000089293
Mir3059	ENSMUSG00000092952
Gm23456	ENSMUSG00000065269
Gm27476	ENSMUSG00000098742
Gm22276	ENSMUSG00000084418
Gm22316	ENSMUSG00000088637
Gm24163	ENSMUSG00000070170
Gm23649	ENSMUSG00000095729
Snord43	ENSMUSG00000105167
Atrnl1	ENSMUSG00000054843
Mir350	ENSMUSG00000065573
Gm22945	ENSMUSG00000089182
Gm26055	ENSMUSG00000064972
Gm26298	ENSMUSG00000095798
Gm24060	ENSMUSG00000088119
Wash1	ENSMUSG00000024101
Gm27651	ENSMUSG00000098755
Gm23839	ENSMUSG00000080607
Gm27646	ENSMUSG00000098364
Gm22342	ENSMUSG00000084596
Gm24357	ENSMUSG00000064797
Gm22883	ENSMUSG00000088001
Gm25703	ENSMUSG00000065057
Gm23700	ENSMUSG00000089467
Gm25166	ENSMUSG00000089534
Gm22199	ENSMUSG00000084609
Mir130a	ENSMUSG00000065484
Gm27711	ENSMUSG00000098349
Mir697	ENSMUSG00000076271
Mir194-1	ENSMUSG00000065581
Gm25365	ENSMUSG00000089477
Mir8112	ENSMUSG00000098623
Gm25903	ENSMUSG00000089117
Acp1	ENSMUSG00000044573
Gm24283	ENSMUSG00000077421
Mir3104	ENSMUSG00000092652
Gm22330	ENSMUSG00000088693
n-R5s56	ENSMUSG00000064455
Gm23664	ENSMUSG00000088672
Gm23801	ENSMUSG00000093302
Gm23389	ENSMUSG00000077413
Mir6939	ENSMUSG00000098380
Gm25859	ENSMUSG00000065644
Olfr24	ENSMUSG00000054141
Hcn4	ENSMUSG00000032338
Tipin	ENSMUSG00000032397
Gm8358	ENSMUSG00000091668
Gm9805	ENSMUSG00000046088
Gm10382	ENSMUSG00000072612
Gm5453	ENSMUSG00000062461
Gm6030	ENSMUSG00000062284
Gm10645	ENSMUSG00000074228
Gm7137	ENSMUSG00000095721
Gm6419	ENSMUSG00000072407
Gm10306	ENSMUSG00000070900
Gm6043	ENSMUSG00000075245
Gm6478	ENSMUSG00000074868
Gm5784	ENSMUSG00000093908
4921508M14Rik	ENSMUSG00000052376
Gm23989	ENSMUSG00000080680
Gm26048	ENSMUSG00000087930
Gm26229	ENSMUSG00000094506
Mir6343	ENSMUSG00000098611
Gm23791	ENSMUSG00000084502
Mir6395	ENSMUSG00000098785
Gm24242	ENSMUSG00000095272
Gm23992	ENSMUSG00000094086
Snord116l11	ENSMUSG00000095691
Mir411	ENSMUSG00000065477
Mirlet7c-2	ENSMUSG00000065608
Gm25434	ENSMUSG00000088903
Gm25950	ENSMUSG00000093072
Mir688	ENSMUSG00000076009
Mir3470b	ENSMUSG00000093912
Gm23251	ENSMUSG00000076961
Gm25829	ENSMUSG00000094013
Gm23231	ENSMUSG00000087924
Gm23826	ENSMUSG00000088019
Gm25089	ENSMUSG00000075968
Gm24389	ENSMUSG00000095142
Gm24028	ENSMUSG00000095151
Gm25982	ENSMUSG00000088545
Mir181b-1	ENSMUSG00000065458
Mir466b-7	ENSMUSG00000096360
Gm24460	ENSMUSG00000064665
Mir7228	ENSMUSG00000106323
Gm23102	ENSMUSG00000065658
Snord57	ENSMUSG00000065272
Gm22692	ENSMUSG00000092796
Mir669a-6	ENSMUSG00000105330
Gm25722	ENSMUSG00000088123
Gm26097	ENSMUSG00000095349
Mir7218	ENSMUSG00000106215
Gm44300	ENSMUSG00000106377
Gm27952	ENSMUSG00000098314
Mir7022	ENSMUSG00000099043
Gm22337	ENSMUSG00000088346
Mir6354	ENSMUSG00000098829
Gm25064	ENSMUSG00000094201
Gm22831	ENSMUSG00000093947
Eml4	ENSMUSG00000032624
Mir1198	ENSMUSG00000080645
Gm24123	ENSMUSG00000077294
Gm23450	ENSMUSG00000094210
Gm27853	ENSMUSG00000098477
Gm26078	ENSMUSG00000077255
Gm24138	ENSMUSG00000088197
Gm22975	ENSMUSG00000065237
Gm26182	ENSMUSG00000088313
Gm25875	ENSMUSG00000077511
Gm24213	ENSMUSG00000088880
Gm44377	ENSMUSG00000104635
Gm22019	ENSMUSG00000077547
Mir344d-3	ENSMUSG00000095292
Gm22714	ENSMUSG00000080544
Gm23167	ENSMUSG00000087780
Ccny	ENSMUSG00000024286
Mroh2b	ENSMUSG00000022155
Dact2	ENSMUSG00000048826
Dydc2	ENSMUSG00000021791
Nup107	ENSMUSG00000052798
Prep	ENSMUSG00000019849
Ska1	ENSMUSG00000036223
Fam83h	ENSMUSG00000046761
Csprs	ENSMUSG00000062783
Dppa2	ENSMUSG00000072419
Nxpe3	ENSMUSG00000075033
Odf3b	ENSMUSG00000047394
Trim9	ENSMUSG00000021071
Ipo5	ENSMUSG00000030662
Adck1	ENSMUSG00000021044
Dpep3	ENSMUSG00000031898
Eif1ad	ENSMUSG00000024841
Hpcal1	ENSMUSG00000071379
Krt4	ENSMUSG00000059668
Ecm2	ENSMUSG00000043631
Krt78	ENSMUSG00000050463
Slc5a8	ENSMUSG00000020062
Slc35d2	ENSMUSG00000033114
Gm10999	ENSMUSG00000078840
Dhrs7	ENSMUSG00000021094
Coq10a	ENSMUSG00000039914
Ccdc87	ENSMUSG00000067872
Rab24	ENSMUSG00000034789
Vti1a	ENSMUSG00000024983
Ctsll3	ENSMUSG00000056728
Ctsr	ENSMUSG00000055679
Il31ra	ENSMUSG00000050377
4833420G17Rik	ENSMUSG00000062822
Sorbs1	ENSMUSG00000025006
Olfr964-ps1	ENSMUSG00000044107
Cx3cr1	ENSMUSG00000052336
Gm10837	ENSMUSG00000075465
Gm10282	ENSMUSG00000070713
Gm9821	ENSMUSG00000095332
Zfp712	ENSMUSG00000090641
Gm10190	ENSMUSG00000066938
Gm5218	ENSMUSG00000091198
Snord45b	ENSMUSG00000064731
Gm44374	ENSMUSG00000105420
Cmya5	ENSMUSG00000047419
Gm22480	ENSMUSG00000084517
Gm23416	ENSMUSG00000093261
Gm22111	ENSMUSG00000095372
Gm22984	ENSMUSG00000084700
Gm25022	ENSMUSG00000093907
Tbca	ENSMUSG00000042043
Gm24444	ENSMUSG00000087869
Gm22514	ENSMUSG00000084496
Gapt	ENSMUSG00000046006
Gm23265	ENSMUSG00000094150
Gm24614	ENSMUSG00000065203
Gm25750	ENSMUSG00000093224
Gm23411	ENSMUSG00000096804
Hmgcs1	ENSMUSG00000093930
Mir130c	ENSMUSG00000098362
Gm23952	ENSMUSG00000095380
Gm23138	ENSMUSG00000065299
Gm24437	ENSMUSG00000088517
Gm25326	ENSMUSG00000095085
Gm24173	ENSMUSG00000077318
Gm5611	ENSMUSG00000090602
Mir106a	ENSMUSG00000065456
Olfr967	ENSMUSG00000055820
Gm23581	ENSMUSG00000089156
Mir344	ENSMUSG00000065568
Gm25772	ENSMUSG00000089199
Mir7002	ENSMUSG00000098464
Gm25543	ENSMUSG00000084627
Gm25956	ENSMUSG00000092856
Gm22056	ENSMUSG00000065320
Gm26202	ENSMUSG00000064844
Mir8114	ENSMUSG00000099227
AC117240.1	ENSMUSG00000106297
Mir881	ENSMUSG00000078038
Gm24265	ENSMUSG00000096243
Gm44308	ENSMUSG00000104762
Gm27483	ENSMUSG00000099143
Neo1	ENSMUSG00000032340
Gm23402	ENSMUSG00000094394
Gm22198	ENSMUSG00000084608
Gm22080	ENSMUSG00000088216
Gm22386	ENSMUSG00000088817
Gm23277	ENSMUSG00000088539
Gm22649	ENSMUSG00000092875
Gm24120	ENSMUSG00000077166
Gm25071	ENSMUSG00000092973
Gm25232	ENSMUSG00000095214
Mir410	ENSMUSG00000065497
Gm23958	ENSMUSG00000087832
Gm24073	ENSMUSG00000088802
Gm24108	ENSMUSG00000093236
Gm25994	ENSMUSG00000093133
Gm23596	ENSMUSG00000077492
Mir421	ENSMUSG00000065509
Gm24591	ENSMUSG00000080348
Mir467a-10	ENSMUSG00000096894
Mir669m-1	ENSMUSG00000089570
Gm6020	ENSMUSG00000069475
Gm6365	ENSMUSG00000051548
Gm22588	ENSMUSG00000088135
Gm23600	ENSMUSG00000087885
Gm16686	ENSMUSG00000085473
Gm26116	ENSMUSG00000093341
Mir6345	ENSMUSG00000098689
D830039M14Rik	ENSMUSG00000043126
Mir1949	ENSMUSG00000088059
Gm22934	ENSMUSG00000077149
Mir871	ENSMUSG00000096628
Mir9-2	ENSMUSG00000065424
Gm22069	ENSMUSG00000096202
Gm27875	ENSMUSG00000099189
Gm22612	ENSMUSG00000088918
Gm27715	ENSMUSG00000099166
Gm25856	ENSMUSG00000064720
Gm26238	ENSMUSG00000093279
Mir15b	ENSMUSG00000065580
Gm24496	ENSMUSG00000093959
Gm22549	ENSMUSG00000095281
Mir1945	ENSMUSG00000088544
Gm22231	ENSMUSG00000077844
Gm24189	ENSMUSG00000088600
Gm22058	ENSMUSG00000065327
Gm26495	ENSMUSG00000065086
Gm22602	ENSMUSG00000088221
Mir6904	ENSMUSG00000098926
Gm24667	ENSMUSG00000089563
Gm27839	ENSMUSG00000098899
Gm24452	ENSMUSG00000065281
Mir1894	ENSMUSG00000084751
Gm23629	ENSMUSG00000064399
Gm22247	ENSMUSG00000064410
Gm23452	ENSMUSG00000065261
Gm24399	ENSMUSG00000088494
Snord47	ENSMUSG00000064968
Gm26018	ENSMUSG00000077594
Gm22299	ENSMUSG00000064597
n-R5s183	ENSMUSG00000065873
Gm24499	ENSMUSG00000089071
Mir6379	ENSMUSG00000098417
Gm27635	ENSMUSG00000087941
AC154540.1	ENSMUSG00000104599
Mir7688	ENSMUSG00000098679
Gm27631	ENSMUSG00000098591
Gm24013	ENSMUSG00000088352
Gm26133	ENSMUSG00000096198
n-R5s194	ENSMUSG00000094830
Gm26181	ENSMUSG00000088312
Gm44485	ENSMUSG00000104809
Mir5134	ENSMUSG00000093270
Gm26444	ENSMUSG00000093815
Hbs1l	ENSMUSG00000019977
Gm24924	ENSMUSG00000094306
Mir5130	ENSMUSG00000092901
Gm25820	ENSMUSG00000105448
Gm25668	ENSMUSG00000088325
Gm44497	ENSMUSG00000106523
Gm23511	ENSMUSG00000065018
Gm25635	ENSMUSG00000064609
Mir19b-2	ENSMUSG00000065473
Gm22909	ENSMUSG00000094524
Gm25883	ENSMUSG00000088406
Gm25213	ENSMUSG00000076343
Mir3102	ENSMUSG00000093296
Mir466m	ENSMUSG00000092793
Gm22767	ENSMUSG00000088990
Gm25216	ENSMUSG00000077768
Gm23559	ENSMUSG00000088449
Gm27542	ENSMUSG00000099244
n-R5s151	ENSMUSG00000065893
Mir6952	ENSMUSG00000098451
Mir1962	ENSMUSG00000088141
Mir291b	ENSMUSG00000078032
Gm22374	ENSMUSG00000077771
Gm25936	ENSMUSG00000094470
Gm26457	ENSMUSG00000105060
Nt5dc2	ENSMUSG00000071547
Cd74	ENSMUSG00000024610
Nrbp2	ENSMUSG00000075590
Hsf1	ENSMUSG00000022556
Ccar1	ENSMUSG00000020074
Olfr192	ENSMUSG00000059041
Tst	ENSMUSG00000044986
4930578I06Rik	ENSMUSG00000021961
Chmp7	ENSMUSG00000034190
Ccar2	ENSMUSG00000033712
Xpo7	ENSMUSG00000022100
Mtrf1	ENSMUSG00000022022
Efhb	ENSMUSG00000023931
4930415O20Rik	ENSMUSG00000022993
Gpr108	ENSMUSG00000005823
Cdhr3	ENSMUSG00000035860
Ube2n	ENSMUSG00000074781
Msh6	ENSMUSG00000005370
Ttc9	ENSMUSG00000042734
Rtl1	ENSMUSG00000085925
Ckb	ENSMUSG00000001270
Olfr1452-ps1	ENSMUSG00000074985
Bicd2	ENSMUSG00000037933
S1pr3	ENSMUSG00000067586
Fam193b	ENSMUSG00000021495
Gm10775	ENSMUSG00000074847
Gm10324	ENSMUSG00000095909
Parp8	ENSMUSG00000021725
Med17	ENSMUSG00000031935
Herpud2	ENSMUSG00000008429
