Gene	Ensembl
CTD-2568P8.1	ENSG00000258556
NTMT1	ENSG00000148335
UBA6	ENSG00000033178
AMD1P2	ENSG00000237801
FAM89B	ENSG00000176973
TMEM104	ENSG00000109066
TMEFF2	ENSG00000144339
STKLD1	ENSG00000198870
AC092641.2	ENSG00000227176
TCEB2P1	ENSG00000234152
MTUS2	ENSG00000132938
CTB-60B18.18	ENSG00000268287
PARVB	ENSG00000188677
FGD4	ENSG00000139132
SYNPO	ENSG00000171992
SAMD11P1	ENSG00000262480
NLRP10	ENSG00000276780
KIR2DL4	ENSG00000277540
ASF1A	ENSG00000111875
RP11-90P16.1	ENSG00000258505
DIRC1	ENSG00000174325
LYPLA1P3	ENSG00000218350
DPRXP1	ENSG00000224323
RP11-5A1.1	ENSG00000279034
MUC21	ENSG00000223590
RP1-65P5.3	ENSG00000255252
ZIC2	ENSG00000043355
D21S2088E	ENSG00000228592
RP11-559M23.1	ENSG00000273106
ADO	ENSG00000181915
RP11-347C12.12	ENSG00000273724
RP11-346C20.4	ENSG00000272250
OAZ3	ENSG00000143450
RP11-160E2.11	ENSG00000262292
PSMA6P4	ENSG00000271625
MYL8P	ENSG00000224874
ISCA1P6	ENSG00000227653
RP3-467L1.6	ENSG00000269925
F9	ENSG00000101981
MCM5	ENSG00000100297
RP11-10J21.6	ENSG00000254291
RP11-61I13.3	ENSG00000235033
NCR1	ENSG00000278362
RP11-657G5.2	ENSG00000282327
MPZL3	ENSG00000160588
REEP6	ENSG00000115255
RP11-19J3.5	ENSG00000225551
RP11-154H12.3	ENSG00000267780
AC007040.11	ENSG00000258881
RP11-864I4.3	ENSG00000250659
RP11-620J15.3	ENSG00000257698
RP11-93O14.3	ENSG00000280376
IGHVII-31-1	ENSG00000253149
TRBV16	ENSG00000275243
RP11-609L3.2	ENSG00000273580
HSPB2	ENSG00000170276
RP11-20G6.2	ENSG00000261090
STON1	ENSG00000243244
KDM4D	ENSG00000186280
OR10A7	ENSG00000179919
RP11-240G22.4	ENSG00000275467
STK19	ENSG00000226257
THBS4	ENSG00000113296
CASC19	ENSG00000254166
FGF13-AS1	ENSG00000226031
RP11-157B13.10	ENSG00000282732
CTD-2373J6.1	ENSG00000260871
RP11-483E23.5	ENSG00000261365
OR12D1	ENSG00000250294
XXbac-BPG308K3.5	ENSG00000235668
MORF4L1P6	ENSG00000233162
RP11-352M15.1	ENSG00000257657
BLZF1	ENSG00000117475
NRBP2	ENSG00000185189
RP11-252M21.6	ENSG00000238185
RPS12P23	ENSG00000180172
FOLH1	ENSG00000086205
SLC25A37	ENSG00000147454
RP1-309K20.6	ENSG00000272897
OR2AT2P	ENSG00000234611
AC063976.2	ENSG00000235775
NARF	ENSG00000141562
CASC22	ENSG00000260887
FRY	ENSG00000073910
HMGB1P11	ENSG00000230547
CTD-2314G24.2	ENSG00000259663
ANXA4	ENSG00000196975
TBCEL	ENSG00000154114
ZBED9	ENSG00000232040
RP11-789C17.1	ENSG00000265413
AC062016.3	ENSG00000235871
OR12D3	ENSG00000250364
U47924.32	ENSG00000275703
AL049758.2	ENSG00000226989
RP11-977G19.14	ENSG00000258260
HOXD3	ENSG00000128652
SLC25A35	ENSG00000125434
RP11-13A1.3	ENSG00000257156
ANKRD50	ENSG00000151458
CYP2D8P	ENSG00000262055
TRIM31-AS1	ENSG00000229223
DLX5	ENSG00000105880
AC079305.10	ENSG00000222043
BOLA3P1	ENSG00000255469
RP11-4O3.2	ENSG00000249831
CH17-212P11.4	ENSG00000282600
PHKB	ENSG00000102893
AIDA	ENSG00000186063
MURC	ENSG00000170681
CLDN18	ENSG00000066405
RP11-502M1.1	ENSG00000250997
CTXN3	ENSG00000205279
RP11-555K12.2	ENSG00000240669
TVP23A	ENSG00000166676
GAPDHP49	ENSG00000234285
RP11-96L7.2	ENSG00000227269
RPL7P13	ENSG00000234253
SYDE1	ENSG00000105137
IGHV2-70	ENSG00000211974
CDPF1	ENSG00000205643
ABCD1P3	ENSG00000261233
RP11-871F6.3	ENSG00000256994
DNAJC6	ENSG00000116675
RP11-606D9.1	ENSG00000256389
PBX3	ENSG00000167081
KIAA0141	ENSG00000081791
GLRX	ENSG00000173221
RP11-337N6.1	ENSG00000271996
RP11-93B21.1	ENSG00000244652
MTCO1P19	ENSG00000237300
DCDC1	ENSG00000170959
OR9G4	ENSG00000172457
OLA1P2	ENSG00000213671
UBE2Q2	ENSG00000140367
HNRNPA1P19	ENSG00000218454
RP11-61J19.2	ENSG00000224535
PKD1P1	ENSG00000244257
RP11-649A18.5	ENSG00000265800
LL0XNC01-250H12.3	ENSG00000234405
HLA-DMB	ENSG00000234154
RP11-169I9.2	ENSG00000265883
C14orf166	ENSG00000087302
RP11-567M16.3	ENSG00000178412
EIF2B5-AS1	ENSG00000230215
PROS1	ENSG00000184500
SNRPD1	ENSG00000167088
CPS1	ENSG00000021826
RPS27P22	ENSG00000241451
RPL3P2	ENSG00000237448
AC008132.13	ENSG00000161103
OFD1P7Y	ENSG00000238088
LILRP2	ENSG00000276976
OR52P2P	ENSG00000171999
RP11-315O6.2	ENSG00000255482
RP11-468N14.13	ENSG00000281704
IGHD4OR15-4A	ENSG00000271317
PRKCB	ENSG00000166501
RP11-444E17.6	ENSG00000272442
RP4-575N6.4	ENSG00000225938
CITF22-49E9.3	ENSG00000278869
AC006116.20	ENSG00000267710
RP11-451H23.1	ENSG00000250749
IGBP1P1	ENSG00000226677
RP11-552E4.4	ENSG00000231568
RP11-463C8.4	ENSG00000259164
RP11-463J7.1	ENSG00000236025
SEC24C	ENSG00000176986
FAM27AP1	ENSG00000274100
ACP1	ENSG00000143727
NEDD9	ENSG00000111859
TRIM56	ENSG00000169871
RP11-12A20.10	ENSG00000278735
RP11-147G16.1	ENSG00000233290
NUDT19	ENSG00000213965
RNFT1P3	ENSG00000187870
SMARCA5-AS1	ENSG00000245112
AC092839.3	ENSG00000228108
BANF1P2	ENSG00000230306
AC092684.1	ENSG00000237844
DASS-23B5.2	ENSG00000234470
RP11-989E6.10	ENSG00000261200
CTD-2269E23.2	ENSG00000226400
RP1-315G1.1	ENSG00000237025
C1QC	ENSG00000159189
OR13C8	ENSG00000186943
ENOX1	ENSG00000120658
CTD-2026K11.1	ENSG00000260892
TET2-AS1	ENSG00000251586
RP11-340E6.1	ENSG00000242104
USP9YP9	ENSG00000232614
RP11-159K7.2	ENSG00000250358
RP11-360P21.2	ENSG00000229102
AC093818.1	ENSG00000225205
ELP2	ENSG00000134759
THADA	ENSG00000115970
RP11-83B20.5	ENSG00000279121
ZNF468	ENSG00000204604
CTD-2071N1.1	ENSG00000259213
RTCB	ENSG00000100220
RPL21P6	ENSG00000239199
TSPY26P	ENSG00000235217
AC103881.1	ENSG00000231040
PTH2	ENSG00000142538
AC007277.3	ENSG00000213981
CPA1	ENSG00000091704
IQUB	ENSG00000164675
KIR3DP1	ENSG00000278051
NEBL	ENSG00000078114
OR7G2	ENSG00000170923
CTA-246H3.12	ENSG00000272942
RP11-100N3.2	ENSG00000254953
BPIFB1	ENSG00000125999
NRCAM	ENSG00000091129
RP1-32B1.4	ENSG00000224374
LIMK2	ENSG00000182541
ZNF616	ENSG00000204611
RP11-14N7.2	ENSG00000232527
LZTR1	ENSG00000099949
CTAGE1	ENSG00000212710
GS1-388B5.6	ENSG00000281363
RP13-870H17.3	ENSG00000281524
ELOVL4	ENSG00000118402
LYPLAL1-AS1	ENSG00000228063
MTMR12	ENSG00000150712
ATP5EP1	ENSG00000250922
ADAMTS7	ENSG00000136378
LCN10	ENSG00000187922
RP11-276H19.2	ENSG00000269994
RP11-93I21.2	ENSG00000248506
ZNRF2P3	ENSG00000235924
ARSB	ENSG00000113273
RP11-40H20.4	ENSG00000224311
VCX3B	ENSG00000205642
RP11-626G11.6	ENSG00000278389
LLPH-AS1	ENSG00000239335
VNN1	ENSG00000112299
SIGLEC27P	ENSG00000269580
BSNDP4	ENSG00000229627
KRT18P25	ENSG00000249064
CCNG1P1	ENSG00000218991
ENPP7P1	ENSG00000249188
RP11-108K14.12	ENSG00000278518
AC078883.3	ENSG00000232788
RP1-151B14.6	ENSG00000235237
RP11-354K4.2	ENSG00000271945
MAB21L1	ENSG00000180660
HCG4B	ENSG00000220391
T	ENSG00000164458
RAPGEF6	ENSG00000158987
CXCR2	ENSG00000180871
HTR2A	ENSG00000102468
BAD	ENSG00000002330
CCL21	ENSG00000137077
AP000345.4	ENSG00000225413
AC068134.8	ENSG00000224516
RP11-369K17.1	ENSG00000253619
IL36G	ENSG00000136688
RP1-184J9.2	ENSG00000240553
RP5-940F7.2	ENSG00000237845
HLA-K	ENSG00000224526
AC016716.1	ENSG00000223427
RP11-362I1.2	ENSG00000275959
AP001626.2	ENSG00000235023
ANKRD53	ENSG00000144031
MLST8	ENSG00000167965
CTD-2522B17.8	ENSG00000262561
RP11-536P16.8	ENSG00000282058
DHX15	ENSG00000109606
RP11-114G22.1	ENSG00000256995
AC139099.6	ENSG00000262952
CWC25	ENSG00000276761
LINC00488	ENSG00000214381
ZNF655	ENSG00000197343
RGPD8	ENSG00000169629
RP11-383M4.2	ENSG00000230846
RAMP2-AS1	ENSG00000197291
RHBDF2	ENSG00000129667
RP11-143N13.2	ENSG00000260201
RP5-1065J22.2	ENSG00000237349
HCG4P3	ENSG00000223892
RP11-781A6.1	ENSG00000258066
AC004540.4	ENSG00000225792
SHANK2-AS2	ENSG00000236262
MCHR2-AS1	ENSG00000229315
SHANK2-AS1	ENSG00000226627
GAPDHP59	ENSG00000231739
KRT28	ENSG00000173908
RPL23AP69	ENSG00000235315
PPP1R10	ENSG00000227804
CTD-2054N24.1	ENSG00000259655
RP11-670N15.1	ENSG00000255167
ESCO1	ENSG00000141446
MAMDC4	ENSG00000177943
NXNP1	ENSG00000226693
ITIH1	ENSG00000055957
RNF152P1	ENSG00000214190
RP11-434H6.2	ENSG00000249505
UQCRHP1	ENSG00000238126
RP11-59K5.1	ENSG00000238041
ISLR	ENSG00000129009
HTR2A-AS1	ENSG00000224517
CYCSP48	ENSG00000233843
GPNMB	ENSG00000136235
C1orf143	ENSG00000228208
RP11-7I15.4	ENSG00000254675
CTB-43E15.2	ENSG00000253428
RP11-138I1.4	ENSG00000265401
TCEB1P21	ENSG00000226186
XXbac-BCX360G3.2	ENSG00000274101
AC010969.1	ENSG00000188525
SBF2	ENSG00000133812
RP1-67K17.4	ENSG00000237851
RP11-120J1.1	ENSG00000225472
RP1-67K17.3	ENSG00000233138
IGHV3-30-2	ENSG00000253587
CTD-2631K10.1	ENSG00000249085
POU5F1	ENSG00000235068
FBXO46	ENSG00000177051
MYOM3	ENSG00000142661
CDKL1	ENSG00000100490
UBAP1	ENSG00000165006
MATN2	ENSG00000132561
SUMO2	ENSG00000188612
HCG9	ENSG00000204625
RP11-472K17.3	ENSG00000279965
RP5-875O13.1	ENSG00000233421
L29074.3	ENSG00000227083
RP5-858B6.1	ENSG00000225656
RP11-439I14.2	ENSG00000259859
DDX39BP2	ENSG00000238024
LA16c-366D1.3	ENSG00000261691
RP11-22L13.1	ENSG00000272235
SNX15	ENSG00000110025
RP1-78O14.1	ENSG00000257894
ST13P3	ENSG00000257773
C9orf139	ENSG00000180539
THRAP3P1	ENSG00000227339
RP11-6L6.2	ENSG00000250673
RP11-293P20.2	ENSG00000225315
APLN	ENSG00000171388
CTD-2213F21.2	ENSG00000250365
CLEC6A	ENSG00000205846
AC096921.2	ENSG00000224618
AC006273.4	ENSG00000272473
CFTRP2	ENSG00000282921
AC023115.4	ENSG00000236605
PHPT1	ENSG00000054148
GLTP	ENSG00000139433
CASC18	ENSG00000257859
FAM181A	ENSG00000140067
AL928768.3	ENSG00000282474
CSAG1	ENSG00000198930
AC009487.5	ENSG00000251621
AC062022.1	ENSG00000226946
CTD-2228K2.7	ENSG00000225138
MYO5C	ENSG00000128833
PRR4	ENSG00000282269
CSRNP1	ENSG00000144655
CELA2A	ENSG00000142615
ELK2AP	ENSG00000282360
SLC22A13	ENSG00000172940
AP000563.2	ENSG00000237325
AL050303.12	ENSG00000273692
PIKFYVE	ENSG00000115020
GAB3	ENSG00000160219
UNK	ENSG00000132478
CXADRP1	ENSG00000214319
CTD-2013N24.2	ENSG00000244513
KDSR	ENSG00000119537
RPL12P39	ENSG00000237314
CFHR2	ENSG00000080910
RP11-110L15.1	ENSG00000257781
AC139099.4	ENSG00000262898
RP11-141O15.1	ENSG00000261113
GAPDHP62	ENSG00000251013
LILRB5	ENSG00000278437
UGP2	ENSG00000169764
OR10J7P	ENSG00000248442
RP11-620J15.4	ENSG00000273805
CTD-2349P21.10	ENSG00000265791
GS1-388B5.8	ENSG00000239432
RP11-126H7.4	ENSG00000282690
RP11-810K23.6	ENSG00000259025
RP11-422P24.9	ENSG00000231416
CTB-158E9.1	ENSG00000254293
CLDN25	ENSG00000228607
SLC22A25	ENSG00000196600
AC068489.1	ENSG00000234446
RARRES2P4	ENSG00000250053
ACER3	ENSG00000078124
RP11-705C15.5	ENSG00000272917
GS1-124K5.12	ENSG00000232559
CTC-338M12.5	ENSG00000250222
RP6-149D17.1	ENSG00000189372
OR13C4	ENSG00000148136
CTD-3203P2.1	ENSG00000259940
ADH1A	ENSG00000187758
VCX3A	ENSG00000169059
KCTD14	ENSG00000151364
GPN3P1	ENSG00000227465
RP11-217O12.1	ENSG00000203396
RP11-305M3.2	ENSG00000238072
IL17RE	ENSG00000163701
RP11-382A20.3	ENSG00000166503
CTD-2127O16.2	ENSG00000253940
SLC26A4	ENSG00000091137
FAM135A	ENSG00000082269
RP11-535A5.1	ENSG00000273348
LINC00396	ENSG00000231428
RP11-745A24.2	ENSG00000242667
RSF1	ENSG00000048649
CMIP	ENSG00000153815
RP11-403A3.3	ENSG00000275830
PARP9	ENSG00000138496
TMCO1	ENSG00000143183
C7orf72	ENSG00000164500
XXbac-BPG299F13.14	ENSG00000226408
RP11-206P5.2	ENSG00000248608
PKMYT1	ENSG00000127564
RP11-103J17.2	ENSG00000261761
RP11-379L18.1	ENSG00000267746
OFD1P13Y	ENSG00000225287
NDUFA8	ENSG00000119421
PFDN6	ENSG00000235692
NOTCH3	ENSG00000074181
SIGLEC6	ENSG00000105492
SCLY	ENSG00000132330
RP11-550P17.5	ENSG00000228560
LINC01060	ENSG00000249378
THG1L	ENSG00000113272
OR6Q1	ENSG00000279051
RP11-192N10.2	ENSG00000225976
RP11-70F11.8	ENSG00000257771
GS1-122H1.1	ENSG00000232309
LILRA3	ENSG00000273884
CDH12P2	ENSG00000249230
SMLR1	ENSG00000256162
PPP1R15A	ENSG00000087074
RP11-144I2.1	ENSG00000279029
RP11-484D2.4	ENSG00000254577
GAPDHP19	ENSG00000234529
RP11-183E9.2	ENSG00000223928
RP11-683L23.7	ENSG00000282965
LINC01090	ENSG00000231689
WDR1	ENSG00000071127
RP11-404E12.1	ENSG00000253178
MCCD1P1	ENSG00000226940
SPANXN4	ENSG00000189326
MTSS1	ENSG00000170873
UTP3	ENSG00000132467
MTCP1	ENSG00000214827
POU2AF1	ENSG00000110777
SERPINB3	ENSG00000057149
ZNF347	ENSG00000197937
TEX12	ENSG00000150783
PDE6D	ENSG00000156973
POTEB2	ENSG00000230031
RP11-227F19.1	ENSG00000250467
RAB8A	ENSG00000167461
NYNRIN	ENSG00000205978
GAGE12C	ENSG00000237671
RP11-1038A11.1	ENSG00000255983
MAGEB17	ENSG00000182798
STARD13-AS	ENSG00000236581
GS1-54N10.1	ENSG00000275508
CTD-2008A1.3	ENSG00000276121
RP11-1406H17.1	ENSG00000269908
CTD-2319I12.4	ENSG00000267248
CTD-2184D3.6	ENSG00000259327
GS1-388B5.1	ENSG00000281246
HMGN2P15	ENSG00000214578
TPCN1	ENSG00000186815
CTD-3193K9.11	ENSG00000273650
RP11-586D19.1	ENSG00000249896
DPY19L2P1	ENSG00000189212
CTD-2012K14.6	ENSG00000261386
FBRSL1	ENSG00000112787
FNDC9	ENSG00000172568
FTH1P21	ENSG00000249013
RP11-10C24.2	ENSG00000271324
FAM132A	ENSG00000184163
CD24	ENSG00000272398
DNAJB5	ENSG00000137094
CCR9	ENSG00000173585
RP11-305P14.1	ENSG00000251391
UBTFL9	ENSG00000254567
C18orf21	ENSG00000141428
RPS2P7	ENSG00000235508
AC112220.2	ENSG00000228112
AP1S2	ENSG00000182287
TMC7	ENSG00000170537
FKBP9P1	ENSG00000176826
ANKRD26P4	ENSG00000229427
RP11-170L3.4	ENSG00000259950
RP11-5O17.1	ENSG00000280417
ZNF575	ENSG00000176472
RP11-131H24.5	ENSG00000279593
DYNLT3	ENSG00000165169
ABHD18	ENSG00000164074
RP11-229P13.2	ENSG00000213590
LINC00207	ENSG00000187012
RP11-576N17.2	ENSG00000250677
PIGY	ENSG00000255072
SLC27A5	ENSG00000083807
RP11-548K12.5	ENSG00000230271
GS1-259H13.7	ENSG00000224448
SPSB4	ENSG00000175093
RP11-77P16.4	ENSG00000249846
ZNF970P	ENSG00000258368
RP11-391L3.4	ENSG00000279021
FAM149B1P1	ENSG00000214424
RP11-139H15.7	ENSG00000274765
RP11-58O15.1	ENSG00000240777
CTC-246B18.10	ENSG00000269246
MUC16	ENSG00000181143
CTD-2375G15.1	ENSG00000205644
ENOX2	ENSG00000165675
NUDT19P4	ENSG00000270900
AP000355.2	ENSG00000228923
AC005394.1	ENSG00000267537
RP11-125H8.1	ENSG00000258988
RP11-58A18.1	ENSG00000261161
RP11-169E6.1	ENSG00000261173
HMX2	ENSG00000188816
EAF2	ENSG00000145088
RP11-576N17.5	ENSG00000250057
RP4-655J12.4	ENSG00000233154
RP11-236P24.1	ENSG00000235224
STK33P1	ENSG00000227412
RP11-258C19.4	ENSG00000227329
RP11-433C9.2	ENSG00000224153
IL6STP1	ENSG00000227018
CTC-301O7.4	ENSG00000197813
DPY19L2P3	ENSG00000227855
TDGF1P7	ENSG00000269584
BAK1P2	ENSG00000236616
AL050303.11	ENSG00000278381
RP4-680D5.8	ENSG00000272510
CTD-3199J23.6	ENSG00000267681
TOPORSLP1	ENSG00000242111
RUVBL1-AS1	ENSG00000239608
RP11-242D8.3	ENSG00000267340
LINC00670	ENSG00000179136
RP11-467N20.6	ENSG00000277505
RP11-403N16.3	ENSG00000260564
ACTA1	ENSG00000143632
RP11-403N16.2	ENSG00000232494
RPP21	ENSG00000241779
RP11-34F13.3	ENSG00000259410
RP11-552D8.1	ENSG00000229258
RP11-66B24.3	ENSG00000259586
ENPP7P12	ENSG00000254527
RP11-274A11.3	ENSG00000279294
RP11-44F21.5	ENSG00000260265
AC005041.11	ENSG00000234521
MT1E	ENSG00000169715
NBR2	ENSG00000198496
XX-FW80269A6.1	ENSG00000214915
UFM1	ENSG00000120686
RP11-454C18.1	ENSG00000262411
PLGRKT	ENSG00000107020
RP11-379I19.1	ENSG00000253260
RP11-756P10.1	ENSG00000250523
FBXO4	ENSG00000151876
ZNF260	ENSG00000254004
CES2	ENSG00000172831
AC068831.10	ENSG00000214432
RP11-693N9.2	ENSG00000235505
RP11-687F6.4	ENSG00000267587
HMX3	ENSG00000188620
AC093381.2	ENSG00000234308
S100PBP	ENSG00000116497
ZBBX	ENSG00000169064
GABRG3	ENSG00000182256
FMNL2	ENSG00000157827
ATE1-AS1	ENSG00000226864
PRKAR2B	ENSG00000005249
KIR3DL3	ENSG00000274254
LILRA4	ENSG00000274185
CTD-2272G21.3	ENSG00000250319
RP11-116D17.3	ENSG00000271579
RP11-358H12.1	ENSG00000283058
LINC00545	ENSG00000236094
RP11-132J14.3	ENSG00000271484
RP11-1437A8.3	ENSG00000260419
MTCO1P42	ENSG00000230327
SMAD5-AS1	ENSG00000164621
THSD4-AS1	ENSG00000259964
C11orf94	ENSG00000234776
RP11-66B24.5	ENSG00000259579
RP11-104J23.2	ENSG00000278690
FCRL5	ENSG00000143297
AC005616.1	ENSG00000266893
RP11-463O9.2	ENSG00000279142
AC079466.1	ENSG00000266976
RP11-536C10.16	ENSG00000258364
TMEM168	ENSG00000146802
