Gene Group 1	Enrichment Score:  11.796466369732563
LTBP4	latent transforming growth factor beta binding protein 4
VCAN	versican
CD248	CD248 molecule, endosialin

Gene Group 4	Enrichment Score:  4.109392366008723
ID	Gene Name
SAA1	serum amyloid A1
CCL21	chemokine (C-C motif) ligand 21
CCL13	chemokine (C-C motif) ligand 13
CXCL2	chemokine (C-X-C motif) ligand 2
CCL2	chemokine (C-C motif) ligand 2

Gene Group 5	Enrichment Score:  4.062319895345667
ID	Gene Name
PAMR1	peptidase domain containing associated with muscle regeneration 1
PRSS1	protease, serine, 1 (trypsin 1); trypsinogen C
PLAU	plasminogen activator, urokinase

Gene Group 6	Enrichment Score:  3.9373648590529045
ID	Gene Name
VASN	vasorin
LRRC32	leucine rich repeat containing 32
LUM	lumican
CD14	CD14 molecule
LRG1	leucine-rich alpha-2-glycoprotein 1

Gene Group 7	Enrichment Score:  3.8734342337220773
ID	Gene Name
CYR61	cysteine-rich, angiogenic inducer, 61
CTGF	connective tissue growth factor
FGF18	fibroblast growth factor 18
WISP2	WNT1 inducible signaling pathway protein 2

Gene Group 8	Enrichment Score:  3.802714385018851
ID	Gene Name
CLU	clusterin
CFB	complement factor B
CR1	complement component (3b/4b) receptor 1 (Knops blood group)
CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)

Gene Group 9	Enrichment Score:  3.798882012549344
ID	Gene Name
MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9
MMP19	matrix metallopeptidase 19
MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif, 4
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif, 15
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1

Gene Group 10	Enrichment Score:  3.438716800654768
ID	Gene Name
TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A
NTN1	netrin 1
NTRK3	neurotrophic tyrosine kinase, receptor, type 3

Gene Group 11	Enrichment Score:  2.3145631977191057
ID	Gene Name
ANPEP	alanyl (membrane) aminopeptidase
XPNPEP2	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound
NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2

Gene Group 12	Enrichment Score:  2.2711294988317348
ID	Gene Name
TNC	tenascin C
EGFLAM	EGF-like, fibronectin type III and laminin G domains

Gene Group 13	Enrichment Score:  2.069814434978847
ID	Gene Name
DAP	death-associated protein
PHLDA1	pleckstrin homology-like domain, family A, member 1
IER3, IER3	immediate early response 3
PERP	PERP, TP53 apoptosis effector
BAG3	BCL2-associated athanogene 3
TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain
AEN	apoptosis enhancing nuclease

Gene Group 14	Enrichment Score:  2.0220075677156912
ID	Gene Name
ARID5A	AT rich interactive domain 5A (MRF1-like)
RFX2	regulatory factor X, 2 (influences HLA class II expression)
FOSL2	FOS-like antigen 2
BATF	basic leucine zipper transcription factor, ATF-like
TSC22D2	TSC22 domain family, member 2
CREB3L2	cAMP responsive element binding protein 3-like 2
PER2	period homolog 2 (Drosophila)
BATF3	basic leucine zipper transcription factor, ATF-like 3
BHLHE40	basic helix-loop-helix family, member e40
HIF3A	hypoxia inducible factor 3, alpha subunit
JUNB	jun B proto-oncogene
JUND	jun D proto-oncogene
RELB	v-rel reticuloendotheliosis viral oncogene homolog B
ATF3	activating transcription factor 3
CCRN4L	CCR4 carbon catabolite repression 4-like (S. cerevisiae)
MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
NFIL3	nuclear factor, interleukin 3 regulated
CREB5	cAMP responsive element binding protein 5
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta

Gene Group 15	Enrichment Score:  2.013885480401488
ID	Gene Name
SLC2A4	solute carrier family 2 (facilitated glucose transporter), member 4
SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3

Gene Group 16	Enrichment Score:  1.7992427514032565
ID	Gene Name
BMP3	bone morphogenetic protein 3
LIF	leukemia inhibitory factor (cholinergic differentiation factor)

Gene Group 17	Enrichment Score:  1.447772106268534
ID	Gene Name
LDLR	low density lipoprotein receptor
APOB	apolipoprotein B (including Ag(x) antigen)

Gene Group 18	Enrichment Score:  1.3767497105449316
ID	Gene Name
ZC3H12A	zinc finger CCCH-type containing 12A
SHB	Src homology 2 domain containing adaptor protein B

Gene Group 19	Enrichment Score:  1.3416058333981802
ID	Gene Name
DNASE1L3	deoxyribonuclease I-like 3
CECR2	cat eye syndrome chromosome region, candidate 2

Gene Group 20	Enrichment Score:  1.2654596298740184
ID	Gene Name
GADD45A	growth arrest and DNA-damage-inducible, alpha
GADD45B	growth arrest and DNA-damage-inducible, beta

Gene Group 21	Enrichment Score:  1.2087749871032891
ID	Gene Name
SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
UBASH3B	ubiquitin associated and SH3 domain containing, B
SLA	Src-like-adaptor

Gene Group 22	Enrichment Score:  1.1134987373670857
ID	Gene Name
CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)

Gene Group 23	Enrichment Score:  1.0886571597278119
ID	Gene Name
RGS16	regulator of G-protein signaling 16
RGS3	regulator of G-protein signaling 3

Gene Group 24	Enrichment Score:  0.9975214028164455
ID	Gene Name
CH25H	cholesterol 25-hydroxylase
PTGIS	prostaglandin I2 (prostacyclin) synthase
FADS1	fatty acid desaturase 1

Gene Group 25	Enrichment Score:  0.994807791530985
ID	Gene Name
GYS2	glycogen synthase 2 (liver)
GYG2	glycogenin 2

Gene Group 26	Enrichment Score:  0.9707279066863388
ID	Gene Name
CCND2	cyclin D2
CCND1	cyclin D1

Gene Group 27	Enrichment Score:  0.9658303793328452
ID	Gene Name
EPB41L3	erythrocyte membrane protein band 4.1-like 3
PLEKHH3	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3

Gene Group 28	Enrichment Score:  0.9650089547247549
ID	Gene Name
DUSP8	dual specificity phosphatase 8
DUSP5	dual specificity phosphatase 5

Gene Group 29	Enrichment Score:  0.9644942935843426
ID	Gene Name
RND3	Rho family GTPase 3
ARL4A	ADP-ribosylation factor-like 4A
RASD1	RAS, dexamethasone-induced 1
ARL4C	ADP-ribosylation factor-like 4C
RHOU	ras homolog gene family, member U
NEDD9	neural precursor cell expressed, developmentally down-regulated 9

Gene Group 30	Enrichment Score:  0.9602401175532581
ID	Gene Name
UGCG	UDP-glucose ceramide glucosyltransferase
SGMS2	sphingomyelin synthase 2

Gene Group 31	Enrichment Score:  0.8773017910926849
ID	Gene Name
AGPAT9	1-acylglycerol-3-phosphate O-acyltransferase 9
PEMT	phosphatidylethanolamine N-methyltransferase

Gene Group 32	Enrichment Score:  0.8695445167855427
ID	Gene Name
SPX	chromosome 12 open reading frame 39
FOSL2	FOS-like antigen 2
UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1
NOP16	NOP16 nucleolar protein homolog (yeast)
PNO1	partner of NOB1 homolog (S. cerevisiae)
WDR43	WD repeat domain 43
URB2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)
MIDN	midnolin

Gene Group 33	Enrichment Score:  0.8167091265160916
ID	Gene Name
TUBA1C	tubulin, alpha 1c
TUBB3	tubulin, beta 3; melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
TUBB2A	tubulin, beta 2A
TPPP	tubulin polymerization promoting protein

Gene Group 34	Enrichment Score:  0.8021400521753337
ID	Gene Name
NR4A1	nuclear receptor subfamily 4, group A, member 1
NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
RUNX1	runt-related transcription factor 1
FOSL1	FOS-like antigen 1
NR4A2	nuclear receptor subfamily 4, group A, member 2
KLF4	Kruppel-like factor 4 (gut)
CSRNP1	cysteine-serine-rich nuclear protein 1
NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2
JUNB	jun B proto-oncogene
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
PPARGC1B	peroxisome proliferator-activated receptor gamma, coactivator 1 beta
NR4A3	nuclear receptor subfamily 4, group A, member 3
CREB5	cAMP responsive element binding protein 5

Gene Group 35	Enrichment Score:  0.7770819848701538
ID	Gene Name
EFHD2	EF-hand domain family, member D2
S100A10	S100 calcium binding protein A10
S100A12	S100 calcium binding protein A12
S100A4	S100 calcium binding protein A4
CABP1	calcium binding protein 1

Gene Group 36	Enrichment Score:  0.7690392170349681
ID	Gene Name
CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2
CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4

Gene Group 37	Enrichment Score:  0.7059162409158732
ID	Gene Name
CA13	carbonic anhydrase XIII
CA12	carbonic anhydrase XII
CA3	carbonic anhydrase III, muscle specific

Gene Group 38	Enrichment Score:  0.6554804373171912
ID	Gene Name
KRT16	keratin 16; keratin type 16-like
LMNA	lamin A/C
KRT8	keratin 8 pseudogene 9; similar to keratin 8; keratin 8
GFAP	glial fibrillary acidic protein

Gene Group 39	Enrichment Score:  0.6402933105618797
ID	Gene Name
DIAPH1	diaphanous homolog 1 (Drosophila)
GAS7	growth arrest-specific 7

Gene Group 40	Enrichment Score:  0.5713568641739099
ID	Gene Name
NAMPT	nicotinamide phosphoribosyltransferase
PNP	nucleoside phosphorylase

Gene Group 41	Enrichment Score:  0.5668043661648807
ID	Gene Name
MEOX2	mesenchyme homeobox 2
NKX3-1	NK3 homeobox 1
HOXB6	homeobox B6
BATF	basic leucine zipper transcription factor, ATF-like
MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
WNT9A	wingless-type MMTV integration site family, member 9A
PRRX2	paired related homeobox 2
MSX1	msh homeobox 1

Gene Group 42	Enrichment Score:  0.5433323722746454
ID	Gene Name
PCLO	piccolo (presynaptic cytomatrix protein)
SYTL4	synaptotagmin-like 4

Gene Group 43	Enrichment Score:  0.5345742125870329
ID	Gene Name
CAPG	capping protein (actin filament), gelsolin-like
SPTB	spectrin, beta, erythrocytic

Gene Group 44	Enrichment Score:  0.4988671243881688
ID	Gene Name
DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
WEE1	WEE1 homolog (S. pombe)
MKI67	antigen identified by monoclonal antibody Ki-67
NOLC1	nucleolar and coiled-body phosphoprotein 1

Gene Group 45	Enrichment Score:  0.4650599393362694
ID	Gene Name
SERPINB8	serpin peptidase inhibitor, clade B (ovalbumin), member 8
SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1

Gene Group 46	Enrichment Score:  0.4367356117251357
ID	Gene Name
ELL	elongation factor RNA polymerase II
CCNL1	cyclin L1

Gene Group 47	Enrichment Score:  0.36247895481376796
ID	Gene Name
UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
TNFAIP3	tumor necrosis factor, alpha-induced protein 3
USP9Y	ubiquitin specific peptidase 9, Y-linked
USP2	ubiquitin specific peptidase 2

Gene Group 48	Enrichment Score:  0.3567709919152891
ID	Gene Name
KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1); karyopherin alpha-2 subunit like
NXT1	NTF2-like export factor 1

Gene Group 49	Enrichment Score:  0.31894226958414873
ID	Gene Name
ZNF697	hypothetical LOC100130667; zinc finger protein 697
NR4A1	nuclear receptor subfamily 4, group A, member 1
RUNX1	runt-related transcription factor 1
ZBTB21	zinc finger protein 295
CREB5	cAMP responsive element binding protein 5
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
ZNF331	zinc finger protein 331
EGR3	early growth response 3
ZNF366	zinc finger protein 366

Gene Group 50	Enrichment Score:  0.2848489050323043
ID	Gene Name
WEE1	WEE1 homolog (S. pombe)
SIK1	salt-inducible kinase 1
PRKY	protein kinase, Y-linked
PLK3	polo-like kinase 3 (Drosophila)
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3
GLYCTK	glycerate kinase
MAP2K3	mitogen-activated protein kinase kinase 3
ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)
ACVR2B	activin A receptor, type IIB
HSPA12B	heat shock 70kD protein 12B
CKB	creatine kinase, brain
PIM1	pim-1 oncogene
MAP3K8	mitogen-activated protein kinase kinase kinase 8
ACSS1	acyl-CoA synthetase short-chain family member 1
SLC27A2	solute carrier family 27 (fatty acid transporter), member 2
ITPKC	inositol 1,4,5-trisphosphate 3-kinase C
SPHK1	sphingosine kinase 1
MAPK6	mitogen-activated protein kinase 6
PFKP	phosphofructokinase, platelet
DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked
TRIB1	tribbles homolog 1 (Drosophila)
ABL1	c-abl oncogene 1, receptor tyrosine kinase

Gene Group 51	Enrichment Score:  0.2739825182895612
ID	Gene Name
LONRF3	LON peptidase N-terminal domain and ring finger 3
UTY	ubiquitously transcribed tetratricopeptide repeat gene, Y-linked
SH3TC1	SH3 domain and tetratricopeptide repeats 1
IFIT1	interferon-induced protein with tetratricopeptide repeats 1

Gene Group 52	Enrichment Score:  0.2727645175056204
ID	Gene Name
CA13	carbonic anhydrase XIII
NQO2	NAD(P)H dehydrogenase, quinone 2
PDLIM3	PDZ and LIM domain 3
MT1X	metallothionein 1X
MT1E	metallothionein 1L (gene/pseudogene); metallothionein 1E; metallothionein 1 pseudogene 3; metallothionein 1J (pseudogene)
PDZRN4	PDZ domain containing ring finger 4
ZDHHC11	zinc finger, DHHC-type containing 11
LONRF3	LON peptidase N-terminal domain and ring finger 3
MT2A	metallothionein 2A
CRIP1	cysteine-rich protein 1 (intestinal)
RNF157	ring finger protein 157
XAF1	XIAP associated factor 1
MT1A	metallothionein 1A
PDLIM4	PDZ and LIM domain 4
MT1M	metallothionein 1M
PDLIM1	PDZ and LIM domain 1
LNX1	ligand of numb-protein X 1
RNF125	ring finger protein 125
RNF122	ring finger protein 122

Gene Group 53	Enrichment Score:  0.26000038587229823
ID	Gene Name
ARID5A	AT rich interactive domain 5A (MRF1-like)
BHLHE40	basic helix-loop-helix family, member e40
SBNO2	strawberry notch homolog 2 (Drosophila)
KDM6B	lysine (K)-specific demethylase 6B
MSX1	msh homeobox 1

Gene Group 54	Enrichment Score:  0.22434744319052377
ID	Gene Name
DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked
CHD1	chromodomain helicase DNA binding protein 1

Gene Group 55	Enrichment Score:  0.18286074128609534
ID	Gene Name
PRODH	proline dehydrogenase (oxidase) 1
BDH1	3-hydroxybutyrate dehydrogenase, type 1
LDHD	lactate dehydrogenase D

Gene Group 56	Enrichment Score:  0.16790040435912496
ID	Gene Name
FEM1C	fem-1 homolog c (C. elegans)
ANKRD28	ankyrin repeat domain 28
